transaction_id,customer_ref,product_sku,product_category,qty,unit_price,currency,discount_pct,payment_method,transaction_datetime,store_channel,campaign_code
bf50b14a-5f7a-4099-b5f0-12b181358ca7,482,SKU-1033,Fashion,5,"1,912.49",THB,20.0,QR,2024-08-12 11:15:11,SIAM branch,
5ca1134c-d065-4a82-ae64-aa9c76ea916d,586,SKU-1198,Fashion,5,"1,616.38",THB,15.0,CASH,2024-06-26 22:37:06,ONLINE,NUA24
8da1ca81-532a-4371-821b-69c9e1e9f2e2,280,SKU-1100,Home & Living,3,715.17,THB,0.0,Credit card,2024-08-24 12:26:24,ONLINE,
2df4656e-8156-486c-b5c8-0cc12e3611bc,306,SKU-1165,Sports,2,"4,960.37",THB,0.0,Credit card,2024-07-01 19:35:56,Web,
935c945f-da16-430b-a379-e83ede5bc435,405,SKU_1090,Home & Living,4,3358.63,THB,5.0,LINE Pay,2024-06-11 09:40:23,เซ็นทรัลเวิลด์,
bd1dde38-896a-4f92-8801-73d53deb542b,,SKU_1002,Electronics,2,2036.36,THB,0.0,QR,2024-06-07 21:08:48,CTW,sp24
bb346b50-cae0-4446-ba8e-52ad89bb500b,341,SKU-1008,Sports,1,"4,284.82",THB,0.0,QR,2024-07-16 20:45:17,Icon Siam,
fd4c42ca-b8a6-480c-84a4-0ae3409e3817,410,SKU-1170,Home & Living,2,"1,488.08",THB,0.0,CC,1721836658,Icon Siam,
89c041fc-a993-4556-abf5-bdb41b8e399c,97,1057,Home & Living,3,"4,084.99",THB,15.0,cash,2024-06-18 16:14:11,เอ็มควอเทียร์,
aae5773f-e9be-4d28-a427-a4c9b9be2361,,SKU_1175,Home & Living,1,"2,823.28",THB,10.0,Credit Card,2024-08-27 13:24:29,CTW,
38cf1ae1-4c77-427b-af5f-117a54fca13f,651,SKU-1016,Sports,5,3823.96,THB,0.0,promptpay,2024-08-10 18:12:16,EmQuartier,MEA24
826874dc-b052-4111-9970-cdc52188e433,,SKU-1025,Home & Living,1,3630.09,THB,0.0,QR/PromptPay,2024-08-01 18:03:42,ONLINE, NUA24 
81adbb00-10b2-4ed4-8d18-ebb1ac5f7b00,522,SKU-1043,Fashion,1,"3,333.51",THB,0.0,credit card,2024-08-19 17:47:48,เซ็นทรัลเวิลด์,
3a650263-dcf1-4920-8623-ec0cf22cf518,65,1022,Electronics,1,3340.88,THB,0.0,LINEPAY,2024-08-01 20:55:00,สยาม,
