campaign_id,report_date,impressions,clicks,ctr,spend_thb,currency,conversions_reported,platform,utm_source,notes
NEW_USER_ACQUISITION,06/01/2024,497018,"16,216",3.26%,24060.63,THB,21,facebook,,backfilled
NEW_USER_ACQUISITION,06/01/2024,569196,9727,1.71%,26941.49,THB,24,GOOGLE_ADS,newsletter,backfilled
NEW_USER_ACQUISITION,06/02/2024,413381,"12,373",2.99%,25419.12,THB,21,FB,,manual adjustment
NEW_USER_ACQUISITION,06/02/2024,728526,"23,576",3.24%,38516.64,THB,17,GOOGLE_ADS,,
NEW_USER_ACQUISITION,06/04/2024,752577,8002,1.06%,34780.73,THB,18,facebook,,manual adjustment
NEW_USER_ACQUISITION,06/04/2024,775843,12896,1.66%,36317.36,THB,19,google,,
NEW_USER_ACQUISITION,06/05/2024,841447,30056,3.57%,33801.65,THB,26,Facebook,newsletter,
NEW_USER_ACQUISITION,06/05/2024,608197,11219,1.84%,25334.59,THB,23,Google,,backfilled
NEW_USER_ACQUISITION,06/06/2024,"518,413","8,476",1.63%,28100.32,THB,16,FB,,
NEW_USER_ACQUISITION,06/06/2024,"667,815",16008,2.4%,32738.89,THB,16,Google,,
NEW_USER_ACQUISITION,06/07/2024,483618,17769,3.67%,24908.77,THB,11,FB,newsletter,backfilled
NEW_USER_ACQUISITION,06/07/2024,813073,11077,1.36%,33761.97,THB,10,google,,
NEW_USER_ACQUISITION,06/08/2024,507425,10769,2.12%,29400.51,THB,19,facebook,newsletter,manual adjustment
NEW_USER_ACQUISITION,06/08/2024,593907,20789,3.5%,28785.19,THB,24,GOOGLE_ADS,,
NEW_USER_ACQUISITION,06/09/2024,609780,22052,3.62%,33752.64,THB,20,FB,,
NEW_USER_ACQUISITION,06/09/2024,"732,525",9992,1.36%,32532.5,THB,24,Google,newsletter,
NEW_USER_ACQUISITION,06/10/2024,604254,22053,3.65%,28848.58,THB,19,FB,affiliate,manual adjustment
NEW_USER_ACQUISITION,06/10/2024,693333,17270,2.49%,35803.93,THB,24,google,newsletter,
NEW_USER_ACQUISITION,06/11/2024,495984,17657,3.56%,25554.14,THB,17,Facebook,,backfilled
NEW_USER_ACQUISITION,06/11/2024,580460,14766,2.54%,33317.91,THB,16,google,,
NEW_USER_ACQUISITION,06/12/2024,"602,795","6,803",1.13%,909.96,USD,15,facebook,newsletter,manual adjustment
NEW_USER_ACQUISITION,06/12/2024,602385,10017,1.66%,29083.83,THB,21,GOOGLE_ADS,newsletter,
NEW_USER_ACQUISITION,06/13/2024,776077,12029,1.55%,31992.06,THB,20,facebook,,
NEW_USER_ACQUISITION,06/13/2024,"576,267",14447,2.51%,24776.16,THB,18,google,,manual adjustment
NEW_USER_ACQUISITION,06/14/2024,662276,22357,3.38%,34727.42,THB,24,facebook,affiliate,
NEW_USER_ACQUISITION,06/14/2024,"513,688",13182,2.57%,29654.07,THB,19,GOOGLE_ADS,newsletter,backfilled
NEW_USER_ACQUISITION,06/15/2024,599169,23505,3.92%,28108.54,THB,19,facebook,affiliate,
NEW_USER_ACQUISITION,06/15/2024,615340,12791,2.08%,35299.22,THB,21,GOOGLE_ADS,,
NEW_USER_ACQUISITION,06/16/2024,675194,16306,2.42%,27277.63,THB,24,Facebook,,
NEW_USER_ACQUISITION,06/16/2024,517374,14019,2.71%,24056.29,THB,23,Google,newsletter,
NEW_USER_ACQUISITION,06/17/2024,"359,444",8107,2.26%,23378.42,THB,22,facebook,,
NEW_USER_ACQUISITION,06/17/2024,656581,19816,3.02%,33272.5,THB,25,google,,
NEW_USER_ACQUISITION,06/18/2024,"514,923",14265,2.77%,24642.04,THB,14,FB,,manual adjustment
NEW_USER_ACQUISITION,06/18/2024,876839,11839,1.35%,38528.18,THB,16,GOOGLE_ADS,affiliate,
NEW_USER_ACQUISITION,06/19/2024,433839,15670,3.61%,20975.17,THB,14,FB,,
NEW_USER_ACQUISITION,06/19/2024,595736,12025,2.02%,38261.29,THB,15,google,,
NEW_USER_ACQUISITION,06/20/2024,641000,8727,1.36%,31465.4,THB,25,facebook,affiliate,backfilled
NEW_USER_ACQUISITION,06/20/2024,684813,24787,3.62%,30057.54,THB,26,GOOGLE_ADS,,manual adjustment
NEW_USER_ACQUISITION,06/21/2024,585320,10901,1.86%,28007.0,THB,22,FB,,
NEW_USER_ACQUISITION,06/21/2024,"736,462",8672,1.18%,32326.05,THB,29,google,affiliate,
NEW_USER_ACQUISITION,06/22/2024,642280,12518,1.95%,30327.82,THB,22,FB,,
NEW_USER_ACQUISITION,06/22/2024,"702,141","23,890",3.4%,35547.61,THB,16,Google,,
NEW_USER_ACQUISITION,06/23/2024,714444,23564,3.3%,31022.59,THB,14,FB,newsletter,manual adjustment
NEW_USER_ACQUISITION,06/23/2024,"537,814",16199,3.01%,31187.63,THB,14,GOOGLE_ADS,,
NEW_USER_ACQUISITION,06/24/2024,"456,372",11632,2.55%,28836.47,THB,13,facebook,newsletter,manual adjustment
NEW_USER_ACQUISITION,06/24/2024,"472,949",10365,2.19%,30239.47,THB,12,google,newsletter,
NEW_USER_ACQUISITION,06/25/2024,563849,13933,2.47%,31908.19,THB,26,FB,affiliate,backfilled
NEW_USER_ACQUISITION,06/25/2024,423586,13712,3.24%,22675.98,THB,21,Google,affiliate,
NEW_USER_ACQUISITION,06/26/2024,411825,15818,3.84%,24332.05,THB,21,Facebook,,
NEW_USER_ACQUISITION,06/26/2024,"577,894",10466,1.81%,33900.43,THB,25,google,newsletter,
NEW_USER_ACQUISITION,06/27/2024,609162,23743,3.9%,31281.71,THB,29,Facebook,newsletter,backfilled
NEW_USER_ACQUISITION,06/27/2024,615246,22670,3.68%,29658.28,THB,26,GOOGLE_ADS,,backfilled
NEW_USER_ACQUISITION,06/28/2024,533377,9347,1.75%,30584.34,THB,15,FB,affiliate,
NEW_USER_ACQUISITION,06/28/2024,756126,15149,2.0%,32090.19,THB,11,Google,,manual adjustment
NEW_USER_ACQUISITION,06/29/2024,537169,9277,1.73%,28030.6,THB,22,facebook,,backfilled
NEW_USER_ACQUISITION,06/29/2024,633407,"20,293",3.2%,26939.26,THB,27,GOOGLE_ADS,newsletter,manual adjustment
NEW_USER_ACQUISITION,06/30/2024,539819,10428,1.93%,31395.99,THB,23,FB,,
NEW_USER_ACQUISITION,06/30/2024,"556,580",22007,3.95%,26023.94,THB,22,google,affiliate,
NEW_USER_ACQUISITION,07/01/2024,751399,10262,1.37%,32367.76,THB,28,Facebook,affiliate,
NEW_USER_ACQUISITION,07/01/2024,565297,18965,3.35%,22710.68,THB,26,GOOGLE_ADS,affiliate,
NEW_USER_ACQUISITION,07/02/2024,603709,20080,3.33%,35208.39,THB,20,FB,affiliate,
NEW_USER_ACQUISITION,07/02/2024,"747,847",20076,2.68%,32662.13,THB,25,Google,,manual adjustment
NEW_USER_ACQUISITION,07/03/2024,553935,16739,3.02%,31671.34,THB,28,Facebook,,backfilled
NEW_USER_ACQUISITION,07/03/2024,619037,15353,2.48%,34995.81,THB,28,Google,,manual adjustment
NEW_USER_ACQUISITION,07/04/2024,601322,14446,2.4%,38119.55,THB,18,FB,,
NEW_USER_ACQUISITION,07/04/2024,792597,"19,577",2.47%,35140.74,THB,26,google,newsletter,backfilled
NEW_USER_ACQUISITION,07/05/2024,439733,7057,1.6%,22078.0,THB,24,Facebook,,
NEW_USER_ACQUISITION,07/05/2024,430231,"9,181",2.13%,24645.94,THB,32,Google,affiliate,backfilled
NEW_USER_ACQUISITION,07/06/2024,542970,8082,1.49%,27641.46,THB,35,Facebook,,manual adjustment
NEW_USER_ACQUISITION,07/06/2024,513670,11352,2.21%,30619.37,THB,27,Google,,
NEW_USER_ACQUISITION,07/08/2024,750052,"17,140",2.29%,32868.29,THB,26,facebook,newsletter,backfilled
NEW_USER_ACQUISITION,07/08/2024,665378,8254,1.24%,27179.72,THB,20,GOOGLE_ADS,,backfilled
NEW_USER_ACQUISITION,07/09/2024,719462,13786,1.92%,31354.46,THB,21,Facebook,,
NEW_USER_ACQUISITION,07/09/2024,448734,6299,1.4%,27044.12,THB,19,Google,newsletter,manual adjustment
NEW_USER_ACQUISITION,07/10/2024,562684,"14,754",2.62%,27702.31,THB,33,FB,,
NEW_USER_ACQUISITION,07/10/2024,531845,14549,2.74%,24064.53,THB,36,GOOGLE_ADS,newsletter,
NEW_USER_ACQUISITION,07/11/2024,444468,17076,3.84%,26276.21,THB,26,Facebook,newsletter,manual adjustment
NEW_USER_ACQUISITION,07/11/2024,437730,"10,154",2.32%,24316.04,THB,24,GOOGLE_ADS,newsletter,
NEW_USER_ACQUISITION,07/12/2024,"513,522",11869,2.31%,26035.38,THB,29,FB,,manual adjustment
NEW_USER_ACQUISITION,07/12/2024,731516,8882,1.21%,35320.41,THB,22,GOOGLE_ADS,,manual adjustment
NEW_USER_ACQUISITION,07/13/2024,421045,9329,2.22%,26156.5,THB,21,facebook,affiliate,manual adjustment
NEW_USER_ACQUISITION,07/13/2024,676624,18886,2.79%,42543.15,THB,21,google,newsletter,
NEW_USER_ACQUISITION,07/14/2024,"731,316","12,957",1.77%,32756.93,THB,35,Facebook,,
NEW_USER_ACQUISITION,07/14/2024,780717,12922,1.66%,31345.63,THB,30,Google,affiliate,
NEW_USER_ACQUISITION,07/15/2024,"406,110",10044,2.47%,26573.01,THB,22,facebook,,
NEW_USER_ACQUISITION,07/15/2024,"700,844",24902,3.55%,33703.92,THB,22,google,,backfilled
NEW_USER_ACQUISITION,07/16/2024,559763,6478,1.16%,27866.46,THB,17,FB,,backfilled
NEW_USER_ACQUISITION,07/16/2024,"746,876",14191,1.9%,31058.19,THB,17,GOOGLE_ADS,,
NEW_USER_ACQUISITION,07/17/2024,748353,25813,3.45%,42212.39,THB,37,facebook,,
NEW_USER_ACQUISITION,07/17/2024,624157,8955,1.43%,30060.53,THB,31,Google,,
NEW_USER_ACQUISITION,07/18/2024,676756,16008,2.37%,35757.93,THB,21,FB,affiliate,backfilled
NEW_USER_ACQUISITION,07/18/2024,0,29,N/A,5485.38,THB,0,FB,,tracking anomaly
NEW_USER_ACQUISITION,07/18/2024,438760,14731,3.36%,27282.97,THB,16,google,,manual adjustment
NEW_USER_ACQUISITION,07/19/2024,478160,"17,209",3.6%,30339.93,THB,20,facebook,,
NEW_USER_ACQUISITION,07/19/2024,582033,13400,2.3%,38601.41,THB,19,Google,affiliate,
NEW_USER_ACQUISITION,07/20/2024,669656,15229,2.27%,27631.63,THB,22,Facebook,newsletter,backfilled
