transaction_id,customer_ref,product_sku,product_category,qty,unit_price,currency,discount_pct,payment_method,transaction_datetime,store_channel,campaign_code,is_return,net_amount_thb
0bba89dc-917e-49f9-81d6-1153981d6fe1,C-05436,SKU-1137,Sports,4,4072.83,THB,20.0,PromptPay,2025-03-02 18:44:25,Central World,NUA,False,13033.06
a3253255-523b-42ed-a831-82a063b130df,,1013,Home & Living,1,3377.18,THB,0.0,PromptPay,2024-09-22 13:29:01,Siam,,False,3377.18
7642e508-1052-472a-b052-5a106b203ca3,C-09683,SKU-1180,Fashion,1,484.73,THB,0.0,Credit Card,2024-12-04 13:34:57,Siam,,False,484.73
8494dd83-b928-4b72-b811-69cbd8620f32,C-06027,SKU-1035,Beauty,-5,250.87,THB,15.0,Credit Card,2025-03-13 09:34:37,Central World,,True,-1066.2
6cfe4fed-be47-4c11-8de5-eece178b12f9,C-09604,SKU-1021,Home & Living,1,1634.64,THB,10.0,LINE Pay,2024-06-04 19:30:56,Online,ME01,False,1471.18
e3666e21-c387-41ea-9517-ed1cba9671bb,C-09829,SKU-1012,Beauty,3,2956.74,THB,0.0,PromptPay,2024-06-20 13:38:44,Siam,,False,8870.22
fe98bc22-16d7-446b-81b5-fb5c26cf5880,C-03875,SKU-1117,Fashion,1,758.0,THB,5.0,PromptPay,2024-11-18 11:12:32,Icon Siam,,False,720.1
a719606e-f621-4499-85ad-f17d4ee3853c,C-01787,SKU-1194,Electronics,1,2062.55,THB,0.0,PromptPay,2024-11-09 20:28:25,,,False,2062.55
6b5866fa-e5a9-4449-9aa3-0fbaece815fe,C-04568,SKU-1148,Beauty,5,2307.19,THB,0.0,LINE Pay,2025-04-28 14:35:11,EmQuartier,NUA,False,11535.95
4b3f5fcf-867a-4cbf-9168-5b2e21503be1,C-08323,SKU-1011,Fashion,5,662.36,THB,0.0,Credit Card,2025-03-02 16:46:47,Icon Siam,LMP,False,3311.8
24cf414c-d04b-4725-9562-c4ad8a78c1c0,C-09884,SKU_1043,Fashion,5,520.94,THB,0.0,Credit Card,2025-04-25 19:05:56,Central World,,False,2604.7
06d9afa4-0399-4bf3-8fae-d9d3a93789d3,C-03840,SKU-1185,Electronics,2,2962.76,THB,0.0,PromptPay,2024-09-25 11:31:13,Icon Siam,,False,5925.52
732ebf4b-2298-4188-88f5-e135363ea901,C-06274,SKU_1023,Beauty,4,4240.01,THB,5.0,PromptPay,2025-03-21 14:22:13,Icon Siam,,False,16112.04
487e54e1-1da9-45ba-8c40-a3abf7dbd592,C-08180,SKU_1192,Beauty,5,3336.41,THB,10.0,Credit Card,2024-07-17 12:41:55,Siam,RAO,False,15013.84
d6f943ac-4bbe-4acd-b408-fc75be0e14f9,C-07962,SKU-1195,Sports,3,3742.59,THB,5.0,Credit Card,2024-09-12 16:27:01,EmQuartier,,False,10666.38
e5c31994-78d9-4e0d-9be5-09a459ce9938,C-06499,SKU_1111,Electronics,5,4204.63,THB,5.0,LINE Pay,2024-06-13 10:34:24,Central World,RAO,False,19971.99
7d195f1c-8f9c-4523-abc3-124e8c12a6c5,C-08178,SKU_1057,Home & Living,5,1678.49,THB,10.0,Credit Card,2024-09-16 12:03:47,EmQuartier,,False,7553.21
c54c8ca2-2542-4c77-81ed-7d6aa935980b,C-06152,SKU-1089,Beauty,-1,4522.7,THB,5.0,Credit Card,2025-04-20 17:53:31,Central World,,True,-4296.56
74f06efa-1804-4daf-a866-92b0d02e4cef,C-00721,SKU-1100,Home & Living,4,792.47,THB,5.0,LINE Pay,2025-03-20 04:11:41,Siam,LMP,False,3011.39
e8f9544a-96a2-4428-9e8a-cb2c94adab01,C-00017,SKU-1091,Fashion,-1,478.34,THB,15.0,Credit Card,2025-03-24 09:11:38,,,True,-406.59
a1133afa-8f58-4c8d-b6ef-3d10c74a0b4b,C-08458,SKU_1199,Beauty,4,890.16,THB,0.0,Cash,2025-04-29 20:07:34,Icon Siam,,False,3560.64
56520602-4ecd-4064-8ac0-e4f72b426e64,C-02333,SKU-1010,Beauty,3,3249.69,THB,10.0,Credit Card,2025-02-02 22:37:05,Central World,ME06,False,8774.16
4c4b82ee-54da-4fd2-9624-5501b98935d5,C-07016,SKU-1089,Electronics,4,742.59,THB,5.0,Credit Card,2025-02-20 17:21:53,Icon Siam,,False,2821.84
ebd8c54a-a978-485a-82e3-609380c41c1f,C-07092,SKU-1014,Fashion,5,71539.635,THB,10.0,LINE Pay,2024-08-05 12:39:14,,,False,321928.36
f6a73cdc-3430-4a2c-8c3f-08d3bb7f4c07,C-03629,SKU-1111,Sports,1,553.4,THB,0.0,Cash,2025-03-25 17:24:10,Icon Siam,,False,553.4
41269543-71ba-4466-9954-385b4ecb766b,,SKU_1156,Fashion,1,3571.83,THB,10.0,LINE Pay,2024-11-17 21:27:52,Icon Siam,LMP,False,3214.65
b8ba845a-3673-4189-b82c-d85085cb8d02,C-08076,SKU_1191,Fashion,5,2814.39,THB,5.0,LINE Pay,2025-05-23 22:58:52,,,False,13368.35
b62dec5e-1b09-4bd7-89c1-0bc410f5d460,C-02676,SKU-1071,Beauty,3,3317.52,THB,20.0,LINE Pay,2024-11-13 12:54:43,EmQuartier,NUA,False,7962.05
5e6fa08f-f7d2-450f-8a09-63a02edcc121,C-09360,1025,Electronics,2,1281.06,THB,0.0,LINE Pay,2025-04-01 21:56:02,Icon Siam,,False,2562.12
64e64f5d-d4d7-4a27-bcc2-9b7e7d3be0ae,C-02426,SKU_1070,Beauty,1,1907.81,THB,0.0,PromptPay,2025-02-25 11:04:56,Central World,RAO,False,1907.81
f1ff254b-c2f9-430b-8945-728ab2cb7c0f,C-09165,SKU-1143,Sports,4,4998.69,THB,20.0,Credit Card,2025-04-02 18:31:42,Icon Siam,NUA,False,15995.81
903c8d5e-641e-47df-9860-e06ce211253a,C-06993,SKU-1124,Home & Living,4,282.32,THB,0.0,Cash,2024-06-06 17:08:45,EmQuartier,,False,1129.28
0630e732-6220-4fb3-b279-f021356494db,C-04972,SKU-1026,Electronics,5,2321.27,THB,0.0,Cash,2025-03-17 15:09:14,Siam,LMP,False,11606.35
