campaign_id,report_date,impressions,clicks,ctr,spend_thb,currency,conversions_reported,platform,utm_source,notes,is_billing_adjustment,is_tracking_anomaly
NEW_USER_ACQUISITION,2024-06-01,497018,16216,3.26,24060.63,THB,21,Facebook,,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-01,569196,9727,1.71,26941.49,THB,24,Google,newsletter,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-02,413381,12373,2.99,25419.12,THB,21,Facebook,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-02,728526,23576,3.24,38516.64,THB,17,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-04,752577,8002,1.06,34780.73,THB,18,Facebook,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-04,775843,12896,1.66,36317.36,THB,19,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-05,841447,30056,3.57,33801.65,THB,26,Facebook,newsletter,,False,False
NEW_USER_ACQUISITION,2024-06-05,608197,11219,1.84,25334.59,THB,23,Google,,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-06,518413,8476,1.63,28100.32,THB,16,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-06,667815,16008,2.4,32738.89,THB,16,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-07,483618,17769,3.67,24908.77,THB,11,Facebook,newsletter,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-07,813073,11077,1.36,33761.97,THB,10,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-08,507425,10769,2.12,29400.51,THB,19,Facebook,newsletter,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-08,593907,20789,3.5,28785.19,THB,24,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-09,609780,22052,3.62,33752.64,THB,20,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-09,732525,9992,1.36,32532.5,THB,24,Google,newsletter,,False,False
NEW_USER_ACQUISITION,2024-06-10,604254,22053,3.65,28848.58,THB,19,Facebook,affiliate,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-10,693333,17270,2.49,35803.93,THB,24,Google,newsletter,,False,False
NEW_USER_ACQUISITION,2024-06-11,495984,17657,3.56,25554.14,THB,17,Facebook,,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-11,580460,14766,2.54,33317.91,THB,16,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-12,602795,6803,1.13,33213.54,THB,15,Facebook,newsletter,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-12,602385,10017,1.66,29083.83,THB,21,Google,newsletter,,False,False
NEW_USER_ACQUISITION,2024-06-13,776077,12029,1.55,31992.06,THB,20,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-13,576267,14447,2.51,24776.16,THB,18,Google,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-14,662276,22357,3.38,34727.42,THB,24,Facebook,affiliate,,False,False
NEW_USER_ACQUISITION,2024-06-14,513688,13182,2.57,29654.07,THB,19,Google,newsletter,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-15,599169,23505,3.92,28108.54,THB,19,Facebook,affiliate,,False,False
NEW_USER_ACQUISITION,2024-06-15,615340,12791,2.08,35299.22,THB,21,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-16,675194,16306,2.42,27277.63,THB,24,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-16,517374,14019,2.71,24056.29,THB,23,Google,newsletter,,False,False
NEW_USER_ACQUISITION,2024-06-17,359444,8107,2.26,23378.42,THB,22,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-17,656581,19816,3.02,33272.5,THB,25,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-18,514923,14265,2.77,24642.04,THB,14,Facebook,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-18,876839,11839,1.35,38528.18,THB,16,Google,affiliate,,False,False
NEW_USER_ACQUISITION,2024-06-19,433839,15670,3.61,20975.17,THB,14,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-19,595736,12025,2.02,38261.29,THB,15,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-20,641000,8727,1.36,31465.4,THB,25,Facebook,affiliate,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-20,684813,24787,3.62,30057.54,THB,26,Google,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-21,585320,10901,1.86,28007.0,THB,22,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-21,736462,8672,1.18,32326.05,THB,29,Google,affiliate,,False,False
NEW_USER_ACQUISITION,2024-06-22,642280,12518,1.95,30327.82,THB,22,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-22,702141,23890,3.4,35547.61,THB,16,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-23,714444,23564,3.3,31022.59,THB,14,Facebook,newsletter,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-23,537814,16199,3.01,31187.63,THB,14,Google,,,False,False
NEW_USER_ACQUISITION,2024-06-24,456372,11632,2.55,28836.47,THB,13,Facebook,newsletter,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-24,472949,10365,2.19,30239.47,THB,12,Google,newsletter,,False,False
NEW_USER_ACQUISITION,2024-06-25,563849,13933,2.47,31908.19,THB,26,Facebook,affiliate,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-25,423586,13712,3.24,22675.98,THB,21,Google,affiliate,,False,False
NEW_USER_ACQUISITION,2024-06-26,411825,15818,3.84,24332.05,THB,21,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-26,577894,10466,1.81,33900.43,THB,25,Google,newsletter,,False,False
NEW_USER_ACQUISITION,2024-06-27,609162,23743,3.9,31281.71,THB,29,Facebook,newsletter,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-27,615246,22670,3.68,29658.28,THB,26,Google,,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-28,533377,9347,1.75,30584.34,THB,15,Facebook,affiliate,,False,False
NEW_USER_ACQUISITION,2024-06-28,756126,15149,2.0,32090.19,THB,11,Google,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-29,537169,9277,1.73,28030.6,THB,22,Facebook,,backfilled,False,False
NEW_USER_ACQUISITION,2024-06-29,633407,20293,3.2,26939.26,THB,27,Google,newsletter,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-06-30,539819,10428,1.93,31395.99,THB,23,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-06-30,556580,22007,3.95,26023.94,THB,22,Google,affiliate,,False,False
NEW_USER_ACQUISITION,2024-07-01,751399,10262,1.37,32367.76,THB,28,Facebook,affiliate,,False,False
NEW_USER_ACQUISITION,2024-07-01,565297,18965,3.35,22710.68,THB,26,Google,affiliate,,False,False
NEW_USER_ACQUISITION,2024-07-02,603709,20080,3.33,35208.39,THB,20,Facebook,affiliate,,False,False
NEW_USER_ACQUISITION,2024-07-02,747847,20076,2.68,32662.13,THB,25,Google,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-07-03,553935,16739,3.02,31671.34,THB,28,Facebook,,backfilled,False,False
NEW_USER_ACQUISITION,2024-07-03,619037,15353,2.48,34995.81,THB,28,Google,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-07-04,601322,14446,2.4,38119.55,THB,18,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-07-04,792597,19577,2.47,35140.74,THB,26,Google,newsletter,backfilled,False,False
NEW_USER_ACQUISITION,2024-07-05,439733,7057,1.6,22078.0,THB,24,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-07-05,430231,9181,2.13,24645.94,THB,32,Google,affiliate,backfilled,False,False
NEW_USER_ACQUISITION,2024-07-06,542970,8082,1.49,27641.46,THB,35,Facebook,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-07-06,513670,11352,2.21,30619.37,THB,27,Google,,,False,False
NEW_USER_ACQUISITION,2024-07-08,750052,17140,2.29,32868.29,THB,26,Facebook,newsletter,backfilled,False,False
NEW_USER_ACQUISITION,2024-07-08,665378,8254,1.24,27179.72,THB,20,Google,,backfilled,False,False
NEW_USER_ACQUISITION,2024-07-09,719462,13786,1.92,31354.46,THB,21,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-07-09,448734,6299,1.4,27044.12,THB,19,Google,newsletter,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-07-10,562684,14754,2.62,27702.31,THB,33,Facebook,,,False,False
NEW_USER_ACQUISITION,2024-07-10,531845,14549,2.74,24064.53,THB,36,Google,newsletter,,False,False
NEW_USER_ACQUISITION,2024-07-11,444468,17076,3.84,26276.21,THB,26,Facebook,newsletter,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-07-11,437730,10154,2.32,24316.04,THB,24,Google,newsletter,,False,False
NEW_USER_ACQUISITION,2024-07-12,513522,11869,2.31,26035.38,THB,29,Facebook,,manual adjustment,False,False
NEW_USER_ACQUISITION,2024-07-12,731516,8882,1.21,35320.41,THB,22,Google,,manual adjustment,False,False
